Student Name,Student Number,Course Name,Module enrolled in,Module completed,Grade,Module to repeat,
Donte Erickson,S606,Geography,Environmental Geography,Environmental Geography,56,,
Donte Erickson,S606,Geography,Urban Geography,,32,Urban Geography,
Adalynn Mckinney,S607,Geography,Geographical Information Systems,Geographical Information Systems,50,,
Adalynn Mckinney,S607,Geography,Environmental Geography,Environmental Geography,98,,
Adalynn Mckinney,S607,Geography,Urban Geography,Urban Geography,96,,
Dario Nolan,S608,Geography,Geographical Information Systems,Geographical Information Systems,93,,
Dario Nolan,S608,Geography,Environmental Geography,Environmental Geography,78,,
Dario Nolan,S608,Geography,Urban Geography,Urban Geography,62,,
Lizeth Hancock,S609,Geography,Geographical Information Systems,,39,Geographical Information Systems,
Lizeth Hancock,S609,Geography,Environmental Geography,,40,Environmental Geography,
Lizeth Hancock,S609,Geography,Urban Geography,Urban Geography,51,,
Maritza Mcgowan,S610,Geography,Geographical Information Systems,Geographical Information Systems,78,,
Maritza Mcgowan,S610,Geography,Environmental Geography,,4,Environmental Geography,
Maritza Mcgowan,S610,Geography,Urban Geography,Urban Geography,51,,
Janet Frye,S612,Industrial Engineering,Introduction to Industrial Engineering,Introduction to Industrial Engineering,49,,
Janet Frye,S612,Industrial Engineering,Production Systems,Production Systems,74,,
Janet Frye,S612,Industrial Engineering,Quality Control,Quality Control,50,,
Deandre Harding,S613,Industrial Engineering,Introduction to Industrial Engineering,,20,Introduction to Industrial Engineering,
Deandre Harding,S613,Industrial Engineering,Production Systems,,31,Production Systems,
Deandre Harding,S613,Industrial Engineering,Quality Control,,39,Quality Control,
Anais Mcclain,S614,Industrial Engineering,Introduction to Industrial Engineering,Introduction to Industrial Engineering,97,,
Anais Mcclain,S614,Industrial Engineering,Production Systems,Production Systems,63,,
Anais Mcclain,S614,Industrial Engineering,Quality Control,Quality Control,97,,
Avery Terrell,S615,Industrial Engineering,Introduction to Industrial Engineering,Introduction to Industrial Engineering,97,,
Avery Terrell,S615,Industrial Engineering,Production Systems,,35,Production Systems,
Avery Terrell,S615,Industrial Engineering,Quality Control,Quality Control,75,,
Roselyn Foley,S616,Industrial Engineering,Introduction to Industrial Engineering,Introduction to Industrial Engineering,43,,
Roselyn Foley,S616,Industrial Engineering,Production Systems,Production Systems,57,,
Roselyn Foley,S616,Industrial Engineering,Quality Control,Quality Control,79,,
Jordy Cortez,S617,Industrial Engineering,Introduction to Industrial Engineering,,36,Introduction to Industrial Engineering,
Jordy Cortez,S617,Industrial Engineering,Production Systems,,10,Production Systems,
Jordy Cortez,S617,Industrial Engineering,Quality Control,,17,Quality Control,
Kamila Contreras,S618,Industrial Engineering,Introduction to Industrial Engineering,Introduction to Industrial Engineering,61,,
Kamila Contreras,S618,Industrial Engineering,Production Systems,,5,Production Systems,
Kamila Contreras,S618,Industrial Engineering,Quality Control,,5,Quality Control,
Reuben Madden,S619,Industrial Engineering,Introduction to Industrial Engineering,Introduction to Industrial Engineering,60,,
Reuben Madden,S619,Industrial Engineering,Production Systems,Production Systems,80,,
Reuben Madden,S619,Industrial Engineering,Quality Control,Quality Control,63,,
Elle Mckay,S620,Industrial Engineering,Introduction to Industrial Engineering,,15,Introduction to Industrial Engineering,
Elle Mckay,S620,Industrial Engineering,Production Systems,,33,Production Systems,
Elle Mckay,S620,Industrial Engineering,Quality Control,,5,Quality Control,
Ismael Mcknight,S621,Industrial Engineering,Introduction to Industrial Engineering,Introduction to Industrial Engineering,65,,
Ismael Mcknight,S621,Industrial Engineering,Production Systems,,39,Production Systems,
Ismael Mcknight,S621,Industrial Engineering,Quality Control,Quality Control,80,,
Cherish Randolph,S622,Industrial Engineering,Introduction to Industrial Engineering,Introduction to Industrial Engineering,43,,
Cherish Randolph,S622,Industrial Engineering,Production Systems,Production Systems,90,,
Cherish Randolph,S622,Industrial Engineering,Quality Control,,37,Quality Control,
Gwendolyn Bryan,S624,Marine Biology,Marine Ecology,,33,Marine Ecology,
Gwendolyn Bryan,S624,Marine Biology,Marine Conservation,Marine Conservation,48,,
Gwendolyn Bryan,S624,Marine Biology,Marine Biodiversity,Marine Biodiversity,82,,
Louisa Chaney,S625,Marine Biology,Marine Ecology,Marine Ecology,71,,
Louisa Chaney,S625,Marine Biology,Marine Conservation,,30,Marine Conservation,
Louisa Chaney,S625,Marine Biology,Marine Biodiversity,Marine Biodiversity,83,,
Karlie Horne,S626,Marine Biology,Marine Ecology,Marine Ecology,73,,
Karlie Horne,S626,Marine Biology,Marine Conservation,Marine Conservation,56,,
Karlie Horne,S626,Marine Biology,Marine Biodiversity,,23,Marine Biodiversity,
Abbey Frye,S627,Marine Biology,Marine Ecology,Marine Ecology,99,,
Abbey Frye,S627,Marine Biology,Marine Conservation,Marine Conservation,63,,
Abbey Frye,S627,Marine Biology,Marine Biodiversity,Marine Biodiversity,78,,
Saniya Robles,S628,Marine Biology,Marine Ecology,,12,Marine Ecology,
Saniya Robles,S628,Marine Biology,Marine Conservation,,31,Marine Conservation,
Saniya Robles,S628,Marine Biology,Marine Biodiversity,Marine Biodiversity,55,,
Kamora Calhoun,S629,Marine Biology,Marine Ecology,,36,Marine Ecology,
Kamora Calhoun,S629,Marine Biology,Marine Conservation,,0,Marine Conservation,
Kamora Calhoun,S629,Marine Biology,Marine Biodiversity,Marine Biodiversity,95,,
Alani Dalton,S631,Philology,Language Acquisition,Language Acquisition,72,,
Alani Dalton,S631,Philology,Linguistic Anthropology I,,10,Linguistic Anthropology I,
Alani Dalton,S631,Philology,Language and Society,Language and Society,58,,
Marcel Dunlap,S632,Philology,Language Acquisition,,8,Language Acquisition,
Marcel Dunlap,S632,Philology,Linguistic Anthropology I,Linguistic Anthropology I,91,,
Marcel Dunlap,S632,Philology,Language and Society,,19,Language and Society,
Brett Cardenas,S633,Philology,Language Acquisition,,25,Language Acquisition,
Brett Cardenas,S633,Philology,Linguistic Anthropology I,,7,Linguistic Anthropology I,
Brett Cardenas,S633,Philology,Language and Society,Language and Society,50,,
Kasen Vazquez,S634,Philology,Language Acquisition,Language Acquisition,87,,
Kasen Vazquez,S634,Philology,Linguistic Anthropology I,Linguistic Anthropology I,43,,
Kasen Vazquez,S634,Philology,Language and Society,,5,Language and Society,
Jaylyn Monroe,S635,Philology,Language Acquisition,Language Acquisition,95,,
Jaylyn Monroe,S635,Philology,Linguistic Anthropology I,,9,Linguistic Anthropology I,
Jaylyn Monroe,S635,Philology,Language and Society,Language and Society,70,,
Nico Camacho,S636,Philology,Language Acquisition,Language Acquisition,96,,
Nico Camacho,S636,Philology,Linguistic Anthropology I,Linguistic Anthropology I,54,,
Nico Camacho,S636,Philology,Language and Society,,26,Language and Society,
Johanna Rivers,S637,Philology,Language Acquisition,,16,Language Acquisition,
Johanna Rivers,S637,Philology,Linguistic Anthropology I,,38,Linguistic Anthropology I,
Johanna Rivers,S637,Philology,Language and Society,,19,Language and Society,
Marley Delaney,S638,Philology,Language Acquisition,,40,Language Acquisition,
Marley Delaney,S638,Philology,Linguistic Anthropology I,,40,Linguistic Anthropology I,
Marley Delaney,S638,Philology,Language and Society,,6,Language and Society,
Maxim Nolan,S639,Philology,Language Acquisition,Language Acquisition,82,,
Maxim Nolan,S639,Philology,Linguistic Anthropology I,Linguistic Anthropology I,96,,
Maxim Nolan,S639,Philology,Language and Society,Language and Society,63,,
Kolten Marquez,S640,Philology,Language Acquisition,Language Acquisition,77,,
Kolten Marquez,S640,Philology,Linguistic Anthropology I,Linguistic Anthropology I,62,,
Kolten Marquez,S640,Philology,Language and Society,Language and Society,68,,
Adan Townsend,S641,Philology,Language Acquisition,Language Acquisition,83,,
Adan Townsend,S641,Philology,Linguistic Anthropology I,,22,Linguistic Anthropology I,
Adan Townsend,S641,Philology,Language and Society,Language and Society,71,,
Bryanna Garcia,S642,Philology,Language Acquisition,Language Acquisition,91,,
Bryanna Garcia,S642,Philology,Linguistic Anthropology I,Linguistic Anthropology I,78,,
Bryanna Garcia,S642,Philology,Language and Society,Language and Society,42,,
Libby Whitney,S643,Philology,Language Acquisition,Language Acquisition,81,,
Libby Whitney,S643,Philology,Linguistic Anthropology I,,38,Linguistic Anthropology I,
Libby Whitney,S643,Philology,Language and Society,Language and Society,59,,
Elisabeth Weaver,S645,Robotics,Introduction to Robotics,,22,Introduction to Robotics,
Elisabeth Weaver,S645,Robotics,Robot Kinematics and Dynamics,Robot Kinematics and Dynamics,99,,
Elisabeth Weaver,S645,Robotics,Control Systems,Control Systems,59,,
Salma Ferrell,S646,Robotics,Introduction to Robotics,,12,Introduction to Robotics,
Salma Ferrell,S646,Robotics,Robot Kinematics and Dynamics,Robot Kinematics and Dynamics,88,,
Salma Ferrell,S646,Robotics,Control Systems,Control Systems,55,,
Keyla Calhoun,S647,Robotics,Introduction to Robotics,,21,Introduction to Robotics,
Keyla Calhoun,S647,Robotics,Robot Kinematics and Dynamics,,36,Robot Kinematics and Dynamics,
Keyla Calhoun,S647,Robotics,Control Systems,Control Systems,47,,
Kayden Shaw,S648,Robotics,Introduction to Robotics,Introduction to Robotics,50,,
Kayden Shaw,S648,Robotics,Robot Kinematics and Dynamics,,31,Robot Kinematics and Dynamics,
Kayden Shaw,S648,Robotics,Control Systems,Control Systems,43,,
Mara Leon,S649,Robotics,Introduction to Robotics,,6,Introduction to Robotics,
Mara Leon,S649,Robotics,Robot Kinematics and Dynamics,Robot Kinematics and Dynamics,79,,
Mara Leon,S649,Robotics,Control Systems,Control Systems,68,,
Paola Logan,S650,Robotics,Introduction to Robotics,Introduction to Robotics,95,,
Paola Logan,S650,Robotics,Robot Kinematics and Dynamics,Robot Kinematics and Dynamics,96,,
Paola Logan,S650,Robotics,Control Systems,Control Systems,42,,
Sanaa Browning,S651,Robotics,Introduction to Robotics,Introduction to Robotics,55,,
Sanaa Browning,S651,Robotics,Robot Kinematics and Dynamics,Robot Kinematics and Dynamics,66,,
Sanaa Browning,S651,Robotics,Control Systems,Control Systems,69,,
Katelynn Eaton,S652,Robotics,Introduction to Robotics,Introduction to Robotics,81,,
Katelynn Eaton,S652,Robotics,Robot Kinematics and Dynamics,,9,Robot Kinematics and Dynamics,
Katelynn Eaton,S652,Robotics,Control Systems,Control Systems,42,,
Leandro Patterson,S653,Robotics,Introduction to Robotics,Introduction to Robotics,82,,
Leandro Patterson,S653,Robotics,Robot Kinematics and Dynamics,,27,Robot Kinematics and Dynamics,
Leandro Patterson,S653,Robotics,Control Systems,Control Systems,70,,
Adrianna Oconnell,S654,Robotics,Introduction to Robotics,,0,Introduction to Robotics,
Adrianna Oconnell,S654,Robotics,Robot Kinematics and Dynamics,,12,Robot Kinematics and Dynamics,
Adrianna Oconnell,S654,Robotics,Control Systems,,8,Control Systems,
Braelyn Vaughn,S655,Robotics,Introduction to Robotics,Introduction to Robotics,54,,
Braelyn Vaughn,S655,Robotics,Robot Kinematics and Dynamics,Robot Kinematics and Dynamics,65,,
Braelyn Vaughn,S655,Robotics,Control Systems,Control Systems,49,,
Aryana Burgess,S656,Robotics,Introduction to Robotics,,19,Introduction to Robotics,
Aryana Burgess,S656,Robotics,Robot Kinematics and Dynamics,Robot Kinematics and Dynamics,77,,
Aryana Burgess,S656,Robotics,Control Systems,Control Systems,45,,
Tess Leonard,S657,Robotics,Introduction to Robotics,Introduction to Robotics,44,,
Tess Leonard,S657,Robotics,Robot Kinematics and Dynamics,Robot Kinematics and Dynamics,96,,
Tess Leonard,S657,Robotics,Control Systems,Control Systems,82,,
Brodie Ritter,S658,Robotics,Introduction to Robotics,Introduction to Robotics,51,,
Brodie Ritter,S658,Robotics,Robot Kinematics and Dynamics,Robot Kinematics and Dynamics,69,,
Brodie Ritter,S658,Robotics,Control Systems,Control Systems,48,,
Ralph Snow,S660,Public Administration,Public Policy Analysis I,,23,Public Policy Analysis I,
Ralph Snow,S660,Public Administration,Policy Implementation I,Policy Implementation I,75,,
Ralph Snow,S660,Public Administration,Policy Evaluation I,,12,Policy Evaluation I,
Josue Mcintosh,S661,Public Administration,Public Policy Analysis I,Public Policy Analysis I,69,,
Josue Mcintosh,S661,Public Administration,Policy Implementation I,Policy Implementation I,55,,
Josue Mcintosh,S661,Public Administration,Policy Evaluation I,Policy Evaluation I,78,,
Shyla Best,S662,Public Administration,Public Policy Analysis I,,0,Public Policy Analysis I,
Shyla Best,S662,Public Administration,Policy Implementation I,Policy Implementation I,49,,
Shyla Best,S662,Public Administration,Policy Evaluation I,Policy Evaluation I,49,,
Mitchell Gay,S663,Public Administration,Public Policy Analysis I,Public Policy Analysis I,69,,
Mitchell Gay,S663,Public Administration,Policy Implementation I,,34,Policy Implementation I,
Mitchell Gay,S663,Public Administration,Policy Evaluation I,Policy Evaluation I,73,,
Kian Wall,S664,Public Administration,Public Policy Analysis I,,39,Public Policy Analysis I,
Kian Wall,S664,Public Administration,Policy Implementation I,,23,Policy Implementation I,
Kian Wall,S664,Public Administration,Policy Evaluation I,Policy Evaluation I,84,,
Giovani Bradshaw,S665,Public Administration,Public Policy Analysis I,Public Policy Analysis I,81,,
Giovani Bradshaw,S665,Public Administration,Policy Implementation I,,11,Policy Implementation I,
Giovani Bradshaw,S665,Public Administration,Policy Evaluation I,,24,Policy Evaluation I,
Maliyah Chandler,S666,Public Administration,Public Policy Analysis I,,20,Public Policy Analysis I,
Maliyah Chandler,S666,Public Administration,Policy Implementation I,Policy Implementation I,92,,
Maliyah Chandler,S666,Public Administration,Policy Evaluation I,Policy Evaluation I,56,,
Sheldon Decker,S667,Public Administration,Public Policy Analysis I,Public Policy Analysis I,53,,
Sheldon Decker,S667,Public Administration,Policy Implementation I,,24,Policy Implementation I,
Sheldon Decker,S667,Public Administration,Policy Evaluation I,,35,Policy Evaluation I,
Santino Warner,S668,Public Administration,Public Policy Analysis I,Public Policy Analysis I,62,,
Santino Warner,S668,Public Administration,Policy Implementation I,,8,Policy Implementation I,
Santino Warner,S668,Public Administration,Policy Evaluation I,,39,Policy Evaluation I,
Kyra Gilbert,S669,Public Administration,Public Policy Analysis I,,2,Public Policy Analysis I,
Kyra Gilbert,S669,Public Administration,Policy Implementation I,,27,Policy Implementation I,
Kyra Gilbert,S669,Public Administration,Policy Evaluation I,Policy Evaluation I,64,,
Madalyn Hodges,S671,Health Sciences,Introduction to Health Sciences,,23,Introduction to Health Sciences,
Madalyn Hodges,S671,Health Sciences,Healthcare Ethics,Healthcare Ethics,46,,
Madalyn Hodges,S671,Health Sciences,Healthcare Management,Healthcare Management,54,,
Kamren Mcknight,S672,Health Sciences,Introduction to Health Sciences,Introduction to Health Sciences,43,,
Kamren Mcknight,S672,Health Sciences,Healthcare Ethics,Healthcare Ethics,85,,
Kamren Mcknight,S672,Health Sciences,Healthcare Management,Healthcare Management,54,,
Emilia Schmidt,S673,Health Sciences,Introduction to Health Sciences,Introduction to Health Sciences,59,,
Emilia Schmidt,S673,Health Sciences,Healthcare Ethics,Healthcare Ethics,53,,
Emilia Schmidt,S673,Health Sciences,Healthcare Management,,18,Healthcare Management,
Roger Mccall,S674,Health Sciences,Introduction to Health Sciences,Introduction to Health Sciences,69,,
Roger Mccall,S674,Health Sciences,Healthcare Ethics,,14,Healthcare Ethics,
Roger Mccall,S674,Health Sciences,Healthcare Management,Healthcare Management,45,,
Trevon Patel,S675,Health Sciences,Introduction to Health Sciences,,32,Introduction to Health Sciences,
Trevon Patel,S675,Health Sciences,Healthcare Ethics,Healthcare Ethics,59,,
Trevon Patel,S675,Health Sciences,Healthcare Management,,5,Healthcare Management,
Emmalynn Harrington,S676,Health Sciences,Introduction to Health Sciences,Introduction to Health Sciences,74,,
Emmalynn Harrington,S676,Health Sciences,Healthcare Ethics,Healthcare Ethics,57,,
Emmalynn Harrington,S676,Health Sciences,Healthcare Management,Healthcare Management,83,,
Dulce Lang,S677,Health Sciences,Introduction to Health Sciences,Introduction to Health Sciences,78,,
Dulce Lang,S677,Health Sciences,Healthcare Ethics,,34,Healthcare Ethics,
Dulce Lang,S677,Health Sciences,Healthcare Management,Healthcare Management,56,,
Bridget Porter,S678,Health Sciences,Introduction to Health Sciences,,39,Introduction to Health Sciences,
Bridget Porter,S678,Health Sciences,Healthcare Ethics,,6,Healthcare Ethics,
Bridget Porter,S678,Health Sciences,Healthcare Management,Healthcare Management,71,,
Briley Moran,S679,Health Sciences,Introduction to Health Sciences,Introduction to Health Sciences,93,,
Briley Moran,S679,Health Sciences,Healthcare Ethics,,34,Healthcare Ethics,
Briley Moran,S679,Health Sciences,Healthcare Management,,12,Healthcare Management,
Judah Ochoa,S681,Chemical Engineering,Chemical Process Principles,Chemical Process Principles,82,,
Judah Ochoa,S681,Chemical Engineering,Transport Phenomena,,16,Transport Phenomena,
Judah Ochoa,S681,Chemical Engineering,Process Control,Process Control,56,,
Laney Dalton,S682,Chemical Engineering,Chemical Process Principles,Chemical Process Principles,46,,
Laney Dalton,S682,Chemical Engineering,Transport Phenomena,Transport Phenomena,61,,
Laney Dalton,S682,Chemical Engineering,Process Control,,34,Process Control,
Marcelo Whitaker,S683,Chemical Engineering,Chemical Process Principles,Chemical Process Principles,98,,
Marcelo Whitaker,S683,Chemical Engineering,Transport Phenomena,Transport Phenomena,94,,
Marcelo Whitaker,S683,Chemical Engineering,Process Control,Process Control,91,,
Sherlyn Dickson,S684,Chemical Engineering,Chemical Process Principles,Chemical Process Principles,98,,
Sherlyn Dickson,S684,Chemical Engineering,Transport Phenomena,,4,Transport Phenomena,
Sherlyn Dickson,S684,Chemical Engineering,Process Control,Process Control,64,,
Alessandra Duran,S685,Chemical Engineering,Chemical Process Principles,Chemical Process Principles,48,,
Alessandra Duran,S685,Chemical Engineering,Transport Phenomena,Transport Phenomena,98,,
Alessandra Duran,S685,Chemical Engineering,Process Control,Process Control,75,,
Bridger Benjamin,S686,Chemical Engineering,Chemical Process Principles,Chemical Process Principles,70,,
Bridger Benjamin,S686,Chemical Engineering,Transport Phenomena,Transport Phenomena,85,,
Bridger Benjamin,S686,Chemical Engineering,Process Control,Process Control,93,,
Braelynn Mcneil,S687,Chemical Engineering,Chemical Process Principles,,32,Chemical Process Principles,
Braelynn Mcneil,S687,Chemical Engineering,Transport Phenomena,,27,Transport Phenomena,
Braelynn Mcneil,S687,Chemical Engineering,Process Control,Process Control,84,,
Annabella Booker,S689,Creative Writing,Introduction to Creative Writing,Introduction to Creative Writing,77,,
Annabella Booker,S689,Creative Writing,Fiction Writing,,9,Fiction Writing,
Annabella Booker,S689,Creative Writing,Poetry Writing,,24,Poetry Writing,
Maverick Rose,S690,Creative Writing,Introduction to Creative Writing,,32,Introduction to Creative Writing,
Maverick Rose,S690,Creative Writing,Fiction Writing,,1,Fiction Writing,
Maverick Rose,S690,Creative Writing,Poetry Writing,,11,Poetry Writing,
Gracelynn Mercer,S691,Creative Writing,Introduction to Creative Writing,,16,Introduction to Creative Writing,
Gracelynn Mercer,S691,Creative Writing,Fiction Writing,Fiction Writing,93,,
Gracelynn Mercer,S691,Creative Writing,Poetry Writing,Poetry Writing,72,,
Emory Zamora,S692,Creative Writing,Introduction to Creative Writing,Introduction to Creative Writing,67,,
Emory Zamora,S692,Creative Writing,Fiction Writing,,2,Fiction Writing,
Emory Zamora,S692,Creative Writing,Poetry Writing,,22,Poetry Writing,
Alvin Pratt,S693,Creative Writing,Introduction to Creative Writing,,14,Introduction to Creative Writing,
Alvin Pratt,S693,Creative Writing,Fiction Writing,,35,Fiction Writing,
Alvin Pratt,S693,Creative Writing,Poetry Writing,Poetry Writing,84,,
Madalynn Morales,S694,Creative Writing,Introduction to Creative Writing,,27,Introduction to Creative Writing,
Madalynn Morales,S694,Creative Writing,Fiction Writing,Fiction Writing,52,,
Madalynn Morales,S694,Creative Writing,Poetry Writing,,4,Poetry Writing,
Desmond Key,S695,Creative Writing,Introduction to Creative Writing,,21,Introduction to Creative Writing,
Desmond Key,S695,Creative Writing,Fiction Writing,Fiction Writing,92,,
Desmond Key,S695,Creative Writing,Poetry Writing,,27,Poetry Writing,
Jadiel Dillon,S696,Creative Writing,Introduction to Creative Writing,,11,Introduction to Creative Writing,
Jadiel Dillon,S696,Creative Writing,Fiction Writing,Fiction Writing,73,,
Jadiel Dillon,S696,Creative Writing,Poetry Writing,,20,Poetry Writing,
Julie Bruce,S697,Creative Writing,Introduction to Creative Writing,,9,Introduction to Creative Writing,
Julie Bruce,S697,Creative Writing,Fiction Writing,,25,Fiction Writing,
Julie Bruce,S697,Creative Writing,Poetry Writing,,32,Poetry Writing,
Curtis Baird,S699,Mathematical Economics,Mathematical Modeling,Mathematical Modeling,74,,
Curtis Baird,S699,Mathematical Economics,Econometrics,Econometrics,46,,
Curtis Baird,S699,Mathematical Economics,Game Theory,Game Theory,76,,
Braelyn Hanna,S700,Mathematical Economics,Mathematical Modeling,,20,Mathematical Modeling,
Braelyn Hanna,S700,Mathematical Economics,Econometrics,Econometrics,91,,
Braelyn Hanna,S700,Mathematical Economics,Game Theory,,13,Game Theory,
Isis Wheeler,S701,Mathematical Economics,Mathematical Modeling,,12,Mathematical Modeling,
Isis Wheeler,S701,Mathematical Economics,Econometrics,Econometrics,89,,
Isis Wheeler,S701,Mathematical Economics,Game Theory,Game Theory,87,,
Arielle Powers,S702,Mathematical Economics,Mathematical Modeling,Mathematical Modeling,74,,
Arielle Powers,S702,Mathematical Economics,Econometrics,Econometrics,93,,
Arielle Powers,S702,Mathematical Economics,Game Theory,Game Theory,52,,
Tyson Morales,S703,Mathematical Economics,Mathematical Modeling,,12,Mathematical Modeling,
Tyson Morales,S703,Mathematical Economics,Econometrics,,19,Econometrics,
Tyson Morales,S703,Mathematical Economics,Game Theory,,37,Game Theory,
Antonia Bush,S704,Mathematical Economics,Mathematical Modeling,,28,Mathematical Modeling,
Antonia Bush,S704,Mathematical Economics,Econometrics,Econometrics,89,,
Antonia Bush,S704,Mathematical Economics,Game Theory,Game Theory,46,,
Elisha Nicholson,S705,Mathematical Economics,Mathematical Modeling,,29,Mathematical Modeling,
Elisha Nicholson,S705,Mathematical Economics,Econometrics,,0,Econometrics,
Elisha Nicholson,S705,Mathematical Economics,Game Theory,Game Theory,88,,
Jasmin Pacheco,S706,Mathematical Economics,Mathematical Modeling,Mathematical Modeling,67,,
Jasmin Pacheco,S706,Mathematical Economics,Econometrics,Econometrics,55,,
Jasmin Pacheco,S706,Mathematical Economics,Game Theory,,38,Game Theory,
Alayna Ford,S707,Mathematical Economics,Mathematical Modeling,,13,Mathematical Modeling,
Alayna Ford,S707,Mathematical Economics,Econometrics,Econometrics,56,,
Alayna Ford,S707,Mathematical Economics,Game Theory,Game Theory,72,,
Seamus Keith,S708,Mathematical Economics,Mathematical Modeling,Mathematical Modeling,46,,
Seamus Keith,S708,Mathematical Economics,Econometrics,Econometrics,41,,
Seamus Keith,S708,Mathematical Economics,Game Theory,,15,Game Theory,
Adrien Floyd,S709,Mathematical Economics,Mathematical Modeling,Mathematical Modeling,72,,
Adrien Floyd,S709,Mathematical Economics,Econometrics,,18,Econometrics,
Adrien Floyd,S709,Mathematical Economics,Game Theory,Game Theory,53,,
Kael Guzman,S710,Mathematical Economics,Mathematical Modeling,Mathematical Modeling,84,,
Kael Guzman,S710,Mathematical Economics,Econometrics,,14,Econometrics,
Kael Guzman,S710,Mathematical Economics,Game Theory,Game Theory,56,,
Johnathon Nixon,S711,Mathematical Economics,Mathematical Modeling,,36,Mathematical Modeling,
Johnathon Nixon,S711,Mathematical Economics,Econometrics,Econometrics,52,,
Johnathon Nixon,S711,Mathematical Economics,Game Theory,Game Theory,80,,
Kylee Molina,S713,Music Theory,Music Composition Techniques,Music Composition Techniques,77,,
Kylee Molina,S713,Music Theory,Orchestration,,0,Orchestration,
Kylee Molina,S713,Music Theory,Counterpoint,,9,Counterpoint,
Ayla Spears,S714,Music Theory,Music Composition Techniques,Music Composition Techniques,88,,
Ayla Spears,S714,Music Theory,Orchestration,Orchestration,65,,
Ayla Spears,S714,Music Theory,Counterpoint,Counterpoint,85,,
Hezekiah Powers,S715,Music Theory,Music Composition Techniques,Music Composition Techniques,88,,
Hezekiah Powers,S715,Music Theory,Orchestration,,15,Orchestration,
Hezekiah Powers,S715,Music Theory,Counterpoint,Counterpoint,67,,
Tianna Graham,S716,Music Theory,Music Composition Techniques,,19,Music Composition Techniques,
Tianna Graham,S716,Music Theory,Orchestration,,8,Orchestration,
Tianna Graham,S716,Music Theory,Counterpoint,Counterpoint,70,,
Branson Cohen,S717,Music Theory,Music Composition Techniques,Music Composition Techniques,91,,
Branson Cohen,S717,Music Theory,Orchestration,Orchestration,66,,
Branson Cohen,S717,Music Theory,Counterpoint,Counterpoint,68,,
Bailee Michael,S718,Music Theory,Music Composition Techniques,,16,Music Composition Techniques,
Bailee Michael,S718,Music Theory,Orchestration,Orchestration,42,,
Bailee Michael,S718,Music Theory,Counterpoint,Counterpoint,63,,
Tess Logan,S719,Music Theory,Music Composition Techniques,,31,Music Composition Techniques,
Tess Logan,S719,Music Theory,Orchestration,Orchestration,63,,
Tess Logan,S719,Music Theory,Counterpoint,Counterpoint,49,,
Mathias Blanchard,S721,Physical Education,Physical Education and Health,Physical Education and Health,89,,
Mathias Blanchard,S721,Physical Education,Sports Psychology,Sports Psychology,54,,
Mathias Blanchard,S721,Physical Education,Exercise Physiology,Exercise Physiology,85,,
Myah Fowler,S722,Physical Education,Physical Education and Health,Physical Education and Health,90,,
Myah Fowler,S722,Physical Education,Sports Psychology,,15,Sports Psychology,
Myah Fowler,S722,Physical Education,Exercise Physiology,,23,Exercise Physiology,
Tristian David,S723,Physical Education,Physical Education and Health,,39,Physical Education and Health,
Tristian David,S723,Physical Education,Sports Psychology,,27,Sports Psychology,
Tristian David,S723,Physical Education,Exercise Physiology,Exercise Physiology,58,,
Alivia Burke,S724,Physical Education,Physical Education and Health,Physical Education and Health,45,,
Alivia Burke,S724,Physical Education,Sports Psychology,Sports Psychology,53,,
Alivia Burke,S724,Physical Education,Exercise Physiology,Exercise Physiology,57,,
Omari Rush,S725,Physical Education,Physical Education and Health,Physical Education and Health,93,,
Omari Rush,S725,Physical Education,Sports Psychology,,29,Sports Psychology,
Omari Rush,S725,Physical Education,Exercise Physiology,Exercise Physiology,86,,
Harlow Delacruz,S726,Physical Education,Physical Education and Health,,13,Physical Education and Health,
Harlow Delacruz,S726,Physical Education,Sports Psychology,Sports Psychology,41,,
Harlow Delacruz,S726,Physical Education,Exercise Physiology,Exercise Physiology,87,,
Madilynn Preston,S727,Physical Education,Physical Education and Health,Physical Education and Health,47,,
Madilynn Preston,S727,Physical Education,Sports Psychology,Sports Psychology,78,,
Madilynn Preston,S727,Physical Education,Exercise Physiology,,5,Exercise Physiology,
Heath Christian,S728,Physical Education,Physical Education and Health,,33,Physical Education and Health,
Heath Christian,S728,Physical Education,Sports Psychology,Sports Psychology,62,,
Heath Christian,S728,Physical Education,Exercise Physiology,Exercise Physiology,73,,
Braeden Kaiser,S729,Physical Education,Physical Education and Health,,11,Physical Education and Health,
Braeden Kaiser,S729,Physical Education,Sports Psychology,Sports Psychology,76,,
Braeden Kaiser,S729,Physical Education,Exercise Physiology,,38,Exercise Physiology,
Amiya Maynard,S730,Physical Education,Physical Education and Health,,9,Physical Education and Health,
Amiya Maynard,S730,Physical Education,Sports Psychology,Sports Psychology,94,,
Amiya Maynard,S730,Physical Education,Exercise Physiology,Exercise Physiology,82,,
Mara Chaney,S731,Physical Education,Physical Education and Health,Physical Education and Health,65,,
Mara Chaney,S731,Physical Education,Sports Psychology,Sports Psychology,56,,
Mara Chaney,S731,Physical Education,Exercise Physiology,Exercise Physiology,48,,
Jovani Roberson,S732,Physical Education,Physical Education and Health,Physical Education and Health,90,,
Jovani Roberson,S732,Physical Education,Sports Psychology,Sports Psychology,46,,
Jovani Roberson,S732,Physical Education,Exercise Physiology,Exercise Physiology,57,,
